lengua,,,,,,,
lengua moscovita,Eustorgio,Rugiel,Pigmerio,,,,
lengua moscovita,Eustorgio,Clorilene,Leoncio,,,,
lengua moscovita,Eustorgio,Clorilene,Rugiel,Pigmerio,,,
lengua moscovita,Eustorgio,Clorilene,Rugiel,Pigmerio,Músicos,,
lengua moscovita,Juana,Celidora,Nomberto,,,,
lengua moscovita,Juana,Eustorgio,,,,,
lengua moscovita,Eustorgio,Rugiel,Pigmerio,Alberto,Capitán,,
lengua moscovita,Juana,Clodoveo ,,,,,
lengua moscovita,Juana,Capitán,Gobernador de Astracán,,,,
lengua moscovita,Alejandro,Eustorgio,Alberto,Rugiel,Pigmerio,Capitán,Gobernador de Astracán
lengua moscovita,Juana,Capitán,Gobernador de Astracán,,,,
lengua moscovita,Eustorgio,Rugiel ,Pigmerio,Mauricio,,,
lengua moscovita,Eustorgio,Rugiel ,Pigmerio,Juana,Clorilene,,
lengua moscovita,Eustorgio,Rugiel ,Pigmerio,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
lengua moscovita,Juana,Pigmerio,,,,,
lengua moscovita,Juana,Pigmerio,Clorilene,Eustorgio,,,
lengua moscovita,Juana,Pigmerio,Clorilene,Eustorgio,Alberto,,
lengua moscovita,Juana,Eustorgio,Pigmerio,Nobles,Arzobispo,,
lengua moscovita,Juana,Aurelia,,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
lengua moscovita,Eustorgio,Juana,,,,,
lengua moscovita,Eustorgio,Clorilene,Indio esclavo,,,,
lengua indígena,Clorilene,Indio esclavo,,,,,
lengua moscovita,Clorilene,Eustorgio,,,,,
lengua moscovita,Clorilene,Eustorgio,Pigmerio,,,,
lengua moscovita,Juana,Eustorgio,,,,,
lengua moscovita,Juana,Pigmerio,,,,,
lengua moscovita,Juana,Eustorgio,,,,,
lengua moscovita,Juana,Rugiel,,,,,
lengua moscovita,Eustorgio,Clorilene,,,,,
lengua moscovita,Juana,Clorilene,,,,,
lengua moscovita,Eustorgio,Clorilene,,,,,
lengua moscovita,Juana,Clorilene,,,,,
lengua moscovita,Juana,Eustorgio,,,,,
lengua moscovita,Juana,Eustorgio,Clorilene,,,,
lengua moscovita,Juana,Clorilene,,,,,
lengua moscovita,Eustorgio,Clodoveo,Pigmerio,,,,
lengua moscovita,Eustorgio,Clarelio,Clorilene,Clodoveo,Pigmerio,,
lengua moscovita,Clarelio,Clorilene,,,,,
lengua moscovita,Eustorgio,Aurelia,,,,,
lengua moscovita,Juana,Aurelia,,,,,
lengua moscovita,Pigmerio,Eustorgio,,,,,
lengua moscovita,Pigmerio,Eustorgio,,,,,
lengua moscovita,Clodoveo,Alberto,,,,,
lengua moscovita,Clodoveo,Eustorgio,,,,,
lengua moscovita,Rugiel,Eustorgio,,,,,
lengua moscovita,Pigmerio,Clodoveo,Eustorgio,,,,
lengua moscovita,Eustorgio,Embajador de Inglaterra,,,,,
lengua moscovita,Pigmerio,Clodoveo,Eustorgio,Marinero prusiano,,,
lengua moscovita,Marinero prusiano,Clorilene,,,,,
lengua moscovita,Eustorgio,Cayo Ceselio,,,,,
lengua moscovita,Eustorgio,Celidora,,,,,
lengua moscovita,Eustorgio,Ediltrudis,,,,,
lengua moscovita,Eustorgio,Celidora,Nomberto,,,,
lengua moscovita,Eustorgio,Celidora,,,,,
lengua moscovita,Eustorgio,Credencio,Pigmerio,,,,
francés,Eustorgio,Pigmerio,Viuda noble,,,,
francés,Cericea,Viuda noble,,,,,
lengua moscovita,Juana,Camila,Cericea,,,,
francés,Eustorgio,Pigmerio,Viuda noble,,,,
francés,Eustorgio,Ministros de justicia,,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
francés,Eustorgio,Ministros de justicia,Gobernador de Marsella,Embajador de Suecia en Francia,Embajador de Polonia en Francia,,
francés,Gobernador de Marsella,Rugiel,,,,,
lengua moscovita,Eustorgio,Embajador de Suecia en Francia,,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
francés,Rey de Francia,Eustorgio,Embajador de Suecia en Francia,Embajador de Polonia en Francia,,,
lengua moscovita,Basilio,Celidora,Juana,,,,
lengua moscovita,Celidora,Crisanto,,,,,
lengua moscovita,Basilio,Celidora,,,,,
lengua moscovita,Celidora,Crisanto,,,,,
lengua moscovita,Celidora,Nomberto,Arzobispo de Suecia,Crisanto,,,
latín,Celidora,Eustorgio,Pigmerio,,,,
francés,Rey de Francia,Eustorgio,Gobernador de Marsella,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
lengua moscovita,Eustorgio,Rugiel,Marineros,,,,
lengua corsaria,Eustorgio,Corsario,,,,,
lengua moscovita,Eustorgio,Rugiel,Pigmerio,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
lengua moscovita,Eustorgio,Rafael de Veamonte,,,,,
polaco,Eustorgio,Pigmerio,,,,,
lengua moscovita,Eustorgio,Rafael de Veamonte,,,,,
español,Rafael de Veamonte,Hijos de Rafael de Veamonte,,,,,
lengua corsaria,Eustorgio,Corsario,,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
español,Eustorgio,Pigmerio,,,,,
español,Eustorgio,Agustinos españoles,,,,,
español,Eustorgio,Agustinos españoles,,,,,
lengua indígena,Eustorgio,Pigmerio,Agustinos españoles,Bárbaros,,,
lengua indígena,Eustorgio,Pigmerio,Agustinos españoles,Sacerdote de Ceres,,,
lengua indígena,Dueña,Gobernador de la Isla de Ceres,Indio esclavo,,,,
lengua indígena,Eustorgio,Sacerdote de Ceres,,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
lengua indígena,Eustorgio,Sacerdote de Ceres,,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
lengua indígena,Clorilene,Indio esclavo,,,,,
lengua indígena,Clorilene,Indio esclavo,,,,,
lengua moscovita,Clorilene,Eustorgio,,,,,
lengua indígena,Clorilene,Indio esclavo,,,,,
lengua moscovita,Clorilene,Eustorgio,,,,,
español,Clorilene,Agustinos españoles,,,,,
lengua moscovita,Clorilene,Indio esclavo,,,,,
lengua indígena,Clorilene,Indio esclavo,,,,,
lengua moscovita,Clorilene,Credencio,,,,,
lengua moscovita,Clorilene,Eustorgio,,,,,
lengua moscovita,Ediltrudis,Clorilene,Eustorgio,,,,
lengua moscovita,Ediltrudis,Indio esclavo,,,,,
lengua moscovita,Eustorgio,Indio esclavo,,,,,
español,Eustorgio,Rugiel,Pigmerio,Cericea,Mesonero,,
español,Clorilene,Mozo español,,,,,
lengua moscovita,Clorilene,Eustorgio,Pigmerio,Camila,Plácida,,
lengua moscovita,Clorilene,Eustorgio,Pigmerio,,,,
español,Eustorgio,Riselo,,,,,
español,Eustorgio,Riselo,Alcaldes,,,,
español,Eustorgio,Embajador veneciano en Francia,,,,,
lengua moscovita,Eustorgio,Clorilene,,,,,
lengua moscovita,Eustorgio,Clorilene,,,,,
lengua moscovita,Eustorgio,Clorilene,Administrador de Mescora,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
lengua moscovita,Roberto,Eustorgio,,,,,
lengua moscovita,Presidente ,Capitán de justicia,Clorilene,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
lengua moscovita,Eustorgio,Sabina Perusa,,,,,
lengua moscovita,Eustorgio,Pigmerio,,,,,
lengua moscovita,Mauricio,Clorilene,,,,,
lengua moscovita,Pigmerio,Eustorgio,Cornelio Pineli,,,,
lengua moscovita,Pigmerio,Eustorgio,Clorilene,,,,
lengua moscovita,Clorilene,Leoncio,,,,,
lengua moscovita,Clorilene,Mauricio,,,,,
lengua moscovita,Juana,Eustorgio,,,,,
